name,author,narrator,duration_minutes,release_date,language,star_rating,num_ratings,price_inr
Geronimo Stilton #11 & #12,Geronimo Stilton,BillLobely,140,2008-08-04,English,5.0,34.0,468.0
The Burning Maze,Rick Riordan,RobbieDaymond,788,2018-05-01,English,4.5,41.0,820.0
The Deep End,Jeff Kinney,DanRussell,123,2020-11-06,English,4.5,38.0,410.0
Daughter of the Deep,Rick Riordan,SoneelaNankani,676,2021-10-05,English,4.5,12.0,615.0
"The Lightning Thief: Percy Jackson, Book 1",Rick Riordan,JesseBernstein,600,2010-01-13,English,4.5,181.0,820.0
The Hunger Games: Special Edition,Suzanne Collins,TatianaMaslany,635,2018-10-30,English,5.0,72.0,656.0
Quest for the Diamond Sword,Winter Morgan,LukeDaniels,143,2014-11-25,English,5.0,11.0,233.0
The Dark Prophecy,Rick Riordan,RobbieDaymond,752,2017-05-02,English,5.0,50.0,820.0
Merlin Mission Collection,Mary Pope Osborne,MaryPopeOsborne,656,2017-05-02,English,5.0,5.0,1256.0
The Tyrant’s Tomb,Rick Riordan,RobbieDaymond,802,2019-09-24,English,5.0,58.0,820.0
"The Titan's Curse: Percy Jackson, Book 3",Rick Riordan,JesseBernstein,528,2010-01-14,English,4.5,130.0,820.0
Magic Tree House Collection: Books 9-16,Mary Pope Osborne,MaryPopeOsborne,323,2011-08-24,English,5.0,6.0,1206.0
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,MaryPopeOsborne,361,2011-09-27,English,5.0,7.0,1206.0
Magnus Chase and the Ship of the Dead,Rick Riordan,MichaelCrouch,778,2017-10-03,English,5.0,41.0,820.0
Northern Lights,Philip Pullman,"PhilipPullman,fullcast,RuthWilson",715,2021-06-24,English,4.0,2.0,1093.0
Geronimo Stilton #13 and #14,Geronimo Stilton,BillLobley,145,2008-02-08,English,4.5,33.0,467.0
Magic Tree House Collection,Mary Pope Osborne,MaryPopeOsborne,304,2004-12-26,English,5.0,7.0,1206.0
Exile,Shannon Messenger,CaitlinKelly,881,2018-11-06,English,5.0,20.0,836.0
